"DOI","Authors","Title","Source","Year","TotalCitation","TCperYear","NTC","SR","students","human","regression analysis","compressive strength","Assigned_cluster","pagerank"
"10.1080/08853134.2020.1845189","OH H;OH J-H","A WISDOM-BASED SALESFORCE DEVELOPMENT MODEL: THE ROLE OF WISDOM IN SALESFORCE TRAINING AND WELL-BEING","JOURNAL OF PERSONAL SELLING AND SALES MANAGEMENT","2020","4","0.800","0.239","OH H, 2020, J PERS SELLING SALES MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-018-00394-4","LI W;ZHOU Q;REN J;SPECTOR S","DATA MINING OPTIMIZATION MODEL FOR FINANCIAL MANAGEMENT INFORMATION SYSTEM BASED ON IMPROVED GENETIC ALGORITHM","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","4","0.800","0.239","LI W, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s10257-018-00396-2","LU K;LYU YJ;LI X;ZHANG Y","A NEW METHOD FOR EVALUATING INFORMATION SYSTEM GROWTH OF SMES BASED ON IMPROVED BP NEURAL NETWORK","INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT","2020","4","0.800","0.239","LU K, 2020, INF SYST E-BUS MANAGE","0.000","0.000","0.000","0.000","","0.000"
"10.1108/IJOA-06-2019-1811","HUTAHAYAN B","WORK: COVENANT, SOCIAL SUPPORT AND THEIR IMPACTS ON MULTIPLE PERFORMANCE OUTCOMES","INTERNATIONAL JOURNAL OF ORGANIZATIONAL ANALYSIS","2020","4","0.800","0.239","HUTAHAYAN B, 2020, INT J ORGAN ANAL","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s11135-016-0337-y","KARANIKIĆ P;MLADENOVIĆ I;SOKOLOV-MLADENOVIĆ S;ALIZAMIR M","PREDICTION OF ECONOMIC GROWTH BY EXTREME LEARNING APPROACH BASED ON SCIENCE AND TECHNOLOGY TRANSFER","QUALITY AND QUANTITY","2017","4","0.500","0.217","KARANIKIĆ P, 2017, QUAL QUANT","0.000","0.000","0.000","0.000","","0.000"
"10.1007/s11192-013-1130-5","AKHMAT G;ZAMAN K;SHUKUI T;AHMED T","RETRACTED ARTICLE: EDUCATIONAL REFORMS AND INTERNATIONALIZATION OF UNIVERSITIES: EVIDENCE FROM MAJOR REGIONS OF THE WORLD","SCIENTOMETRICS","2014","4","0.364","0.195","AKHMAT G, 2014, SCIENTOMETRICS","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.econmod.2013.06.002","BASHIR MF;XU C;ZAMAN K;AKHMAT G;IKRAM M","IMPACT OF FOREIGN POLITICAL INSTABILITY ON CHINESE EXPORTS","ECONOMIC MODELLING","2013","4","0.333","0.093","BASHIR MF, 2013, ECON MODEL","0.000","0.000","0.000","0.000","","0.000"
"10.1080/17430437.2014.919258","CHATTERJEE A","FROM COURTYARD SPORT TO COMPETITIVE SPORT: EVOLUTION OF WRESTLING IN COLONIAL BENGAL","SPORT IN SOCIETY","2015","4","0.400","0.144","CHATTERJEE A, 2015, SPORT SOC","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.econmod.2012.07.021","ZAMAN K;KHILJI BA","THE RELATIONSHIP BETWEEN GROWTH AND POVERTY IN FORECASTING FRAMEWORK: PAKISTAN'S FUTURE IN THE YEAR 2035","ECONOMIC MODELLING","2013","4","0.333","0.093","ZAMAN K, 2013, ECON MODEL-a","0.000","0.000","0.000","0.000","","0.000"
"10.1016/j.econmod.2012.07.012","NAZ F;MOHSIN A;ZAMAN K","EXCHANGE RATE PASS-THROUGH IN TO INFLATION: NEW INSIGHTS IN TO THE COINTEGRATION RELATIONSHIP FROM PAKISTAN","ECONOMIC MODELLING","2012","4","0.308","0.146","NAZ F, 2012, ECON MODEL","0.000","0.000","0.000","0.000","","0.000"
